9,1,104
81,4,123
30,5,128
108,30,128
34,6,134
25,24,130
38,4,132
60,7,133
10,9,98
109,34,134
11,10,137
12,11,118
110,60,133
16,15,135
17,16,96
18,2,103
2,17,103
19,18,100
21,20,116
22,21,90
23,22,89
24,23,114
26,25,101
39,3,102
13,12,88
20,19,136
14,13,87
15,14,115
96,16,135
82,29,108
88,12,118
101,25,130
3,26,102
116,20,136
124,5,147
46,45,131
48,8,97
40,39,95
102,26,145
42,41,117
47,46,127
8,47,97
7,35,112
112,35,150
49,48,119
50,49,144
91,36,139
52,51,93
36,37,139
37,38,94
54,53,140
123,4,153
94,38,132
43,42,86
44,43,85
45,44,113
127,46,131
97,47,127
41,40,138
126,6,152
98,9,143
118,11,137
51,50,111
35,36,91
86,42,117
6,57,120
90,21,116
31,32,107
84,59,110
59,60,110
57,58,106
58,59,84
55,54,121
56,55,99
53,52,142
121,54,140
93,51,111
92,53,142
83,33,109
33,34,109
5,31,129
32,33,83
4,27,153
29,30,108
27,28,105
28,29,82
117,41,138
84,66,106
1,56,104
82,73,105
100,64,148
87,72,115
103,17,146
83,71,107
95,63,156
89,70,114
125,7,151
85,65,113
80,49,119
125,62,149
98,61,154
99,55,141
115,72,128
82,72,87
114,70,134
83,70,89
113,65,133
84,65,85
85,43,86
106,66,120
66,84,86
84,85,86
87,13,88
105,73,122
73,82,88
82,87,88
89,22,90
107,71,155
71,83,90
83,89,90
94,68,139
91,68,93
81,67,132
111,50,144
69,91,93
93,68,142
92,68,94
67,92,94
126,63,130
152,74,156
124,64,135
115,76,135
97,62,119
131,79,149
123,61,141
153,75,154
92,67,140
104,56,143
147,77,148
100,18,146
114,78,130
95,39,145
101,63,145
63,95,145
96,64,146
17,96,146
99,61,143
61,98,143
118,75,122
28,82,105
117,74,120
58,84,106
116,77,155
32,83,107
124,76,128
72,82,108
126,78,134
70,83,109
125,79,133
65,84,110
80,69,144
69,93,111
91,69,150
69,80,112
65,110,	133
44,85,113
70,109,	134
23,89,114
72,108,	128
14,87,115
136,100,	148
71,90,116
138,95,156
66,86,117
137,98,154
73,88,118
119,62,151
48,97,119
57,106,	120
66,117,	120
67,81,121
121,81,141
27,105,	122
73,118,	122
122,75,153
61,99,141
129,107,	155
64,96,135
112,80,151
7,112,	151
120,74,152
63,101,	130
113,79,131
62,97,127
76,115,	128
5,124,	128
31,107,	129
129,77,147
24,114,	130
78,126,	130
45,113,	131
79,125,	149
4,81,132
67,94,132
79,113,	133
7,125,	133
78,114,	134
6,126,	134
15,115,	135
76,124,	135
19,100,	136
77,116,	136
10,98,137
75,118,	137
40,95,138
74,117,	138
68,91,139
37,94,139
53,92,140
67,121,	140
55,121,	141
81,123,	141
68,92,142
52,93,142
56,99,143
9,104,	143
49,80,144
69,111,	144
26,101,	145
39,102,	145
64,100,	146
18,103,	146
64,124,	147
5,129,	147
77,136,	148
64,147,	148
62,127,	149
127,131,	149
35,91,150
69,112,	150
80,119,	151
62,125,	151
6,120,	152
63,126,	156
27,122,	153
61,123,	154
75,137,	154
123,153,	154
71,116,	155
77,129,	155
74,138,	156
126,152,	156
